product_type,isautoleadcreated,major_index,major_stage,Leads,Conv%
Fresh,Flow1(Auto),2,Workable leads,372664,
Fresh,Flow1(Auto),3,Bureau pull success,358494,96
Fresh,Flow1(Auto),4,BRE1 completed,222588,62
Fresh,Flow1(Auto),5,Marketplace Offer Selected,76598,34
Fresh,Flow1(Auto),6,Child_Lead_Created,58471,76
Fresh,Flow1(Auto),7,Selfie uploaded,38142,65
Fresh,Flow1(Auto),8,KYC completed,30554,80
Fresh,Flow1(Auto),9,BRE2 completed,25183,82
Fresh,Flow1(Auto),10,Disbursal acc verified,24837,99
Fresh,Flow1(Auto),11,Review submit,22952,92
Fresh,Flow1(Auto),12,Mandate done,20940,91
Fresh,Flow1(Auto),13,Application submitted by user,21048,101
Fresh,Flow1(Auto),14,Submit to LMS,16362,78
Fresh,Flow1(Auto),15,Disbursed,15176,93
Fresh,Flow2(Manual),2,Workable leads,88385,
Fresh,Flow2(Manual),3,Bureau pull success,82972,94
Fresh,Flow2(Manual),4,BRE1 completed,46729,56
Fresh,Flow2(Manual),5,Marketplace Offer Selected,34794,74
Fresh,Flow2(Manual),6,Child_Lead_Created,31345,90
Fresh,Flow2(Manual),7,Selfie uploaded,24674,79
Fresh,Flow2(Manual),8,KYC completed,20210,82
Fresh,Flow2(Manual),9,BRE2 completed,17999,89
Fresh,Flow2(Manual),10,Disbursal acc verified,17685,98
Fresh,Flow2(Manual),11,Review submit,16591,94
Fresh,Flow2(Manual),12,Mandate done,14615,88
Fresh,Flow2(Manual),13,Application submitted by user,14798,101
Fresh,Flow2(Manual),14,Submit to LMS,12581,85
Fresh,Flow2(Manual),15,Disbursed,11951,95
