major_index,major_stage,FULLERTON Fresh Flow1(Auto) Leads,FULLERTON Fresh Flow1(Auto) Conv. %,FULLERTON Fresh Flow2(Manual) Leads,FULLERTON Fresh Flow2(Manual) Conv. %,KSF Fresh Flow1(Auto) Leads,KSF Fresh Flow1(Auto) Conv. %,KSF Fresh Flow2(Manual) Leads,KSF Fresh Flow2(Manual) Conv. %,MFL Fresh Flow1(Auto) Leads,MFL Fresh Flow1(Auto) Conv. %,MFL Fresh Flow2(Manual) Leads,MFL Fresh Flow2(Manual) Conv. %,NACL Fresh Flow1(Auto) Leads,NACL Fresh Flow1(Auto) Conv. %,NACL Fresh Flow2(Manual) Leads,NACL Fresh Flow2(Manual) Conv. %,PIRAMAL Fresh Flow1(Auto) Leads,PIRAMAL Fresh Flow1(Auto) Conv. %,PIRAMAL Fresh Flow2(Manual) Leads,PIRAMAL Fresh Flow2(Manual) Conv. %,PYFL Fresh Flow1(Auto) Leads,PYFL Fresh Flow1(Auto) Conv. %,PYFL Fresh Flow2(Manual) Leads,PYFL Fresh Flow2(Manual) Conv. %,SHRIRAM Fresh Flow1(Auto) Leads,SHRIRAM Fresh Flow1(Auto) Conv. %,SHRIRAM Fresh Flow2(Manual) Leads,SHRIRAM Fresh Flow2(Manual) Conv. %
6,Child_Lead_Created,14562,,10781,,8398,,6567,,4460,,2415,,2364,,1332,,20877,,9360,,4965,,3461,,6463,,3085,
7,Selfie uploaded,11802,81.05,9381,87.01,7555,89.96,6004,91.43,3963,88.86,2211,91.55,2062,87.23,1194,89.64,6923,33.16,4464,47.69,4013,80.83,3015,87.11,5800,89.74,2818,91.35
8,KYC completed,9758,82.68,7871,83.9,5105,67.57,4436,73.88,2810,70.91,1580,71.46,1592,77.21,904,75.71,4456,64.37,2917,65.34,3850,95.94,2903,96.29,3957,68.22,1943,68.95
9,BRE2 completed,7393,75.76,6731,85.52,3978,77.92,3835,86.45,1781,63.38,1176,74.43,1114,69.97,714,78.98,2595,58.24,2034,69.73,2178,56.57,1942,66.9,3221,81.4,1662,85.54
10,Disbursal acc verified,7301,98.76,6642,98.68,3920,98.54,3779,98.54,1766,99.16,1163,98.89,1091,97.94,700,98.04,2569,99.0,2018,99.21,2163,99.31,1922,98.97,3195,99.19,1644,98.92
11,Review submit,6670,91.36,6196,93.29,3713,94.72,3605,95.4,1687,95.53,1117,96.04,1015,93.03,644,92.0,2386,92.88,1917,95.0,1981,91.59,1800,93.65,2998,93.83,1572,95.62
12,Mandate done,6048,90.67,5477,88.4,3309,89.12,3142,87.16,1528,90.57,960,85.94,935,92.12,577,89.6,2204,92.37,1752,91.39,1715,86.57,1533,85.17,2822,94.13,1406,89.44
13,Application submitted by user,6042,99.9,5469,99.85,3289,99.4,3119,99.27,1448,94.76,911,94.9,922,98.61,567,98.27,2201,99.86,1749,99.83,1981,115.51,1800,117.42,2821,99.96,1405,99.93
14,Submit to LMS,4670,77.29,4835,88.41,2903,88.26,2839,91.02,1287,88.88,851,93.41,628,68.11,430,75.84,1914,86.96,1622,92.74,1335,67.39,1274,70.78,2419,85.75,1257,89.47
15,Disbursed,4483,96.0,4676,96.71,2748,94.66,2739,96.48,1075,83.53,710,83.43,615,97.93,417,96.98,1834,95.82,1573,96.98,1285,96.25,1228,96.39,2203,91.07,1171,93.16
